id,category,language,source,raw_file,content_len
faq-001,faq,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/faq/faq.json,273
faq-002,faq,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/faq/faq.json,317
faq-003,faq,fr,transfers.json,raw/faq/faq.json,300
faq-004,faq,fr,cards_monetique.json,raw/faq/faq.json,226
faq-005,faq,fr,credit_services.json,raw/faq/faq.json,222
faq-006,faq,fr,security.json,raw/faq/faq.json,266
faq-007,faq,fr,contact.json,raw/faq/faq.json,254
faq-008,faq,fr,investment_exchange.json,raw/faq/faq.json,249
faq-009,faq,fr,foreign_banking.json,raw/faq/faq.json,93
faq-010,faq,fr,agencies.json,raw/faq/faq.json,197
faq-011,faq,fr,accounts.json,raw/faq/faq.json,143
faq-012,faq,fr,customer_segments.json,raw/faq/faq.json,203
fin-001,financing,fr,https://www.amenbank.com.tn,raw/financing/credit_services.json,380
fin-002,financing,fr,https://www.amenbank.com.tn,raw/financing/credit_services.json,335
fin-003,financing,fr,https://www.amenbank.com.tn/en/tla/digital-bank-53-214-amen-mobile.html,raw/financing/credit_services.json,366
fin-004,financing,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/financing/credit_services.json,426
fin-005,financing,fr,https://www.amenbank.com.tn,raw/financing/credit_services.json,352
fin-006,financing,fr,https://www.amenbank.com.tn,raw/financing/credit_services.json,423
inv-001,investment,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/investment/investment_exchange.json,517
inv-002,investment,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/investment/investment_exchange.json,416
inv-003,investment,fr,https://www.amenbank.com.tn/en/tla/digital-bank-53-214-amen-mobile.html,raw/investment/investment_exchange.json,392
inv-004,investment,fr,https://www.amenbank.com.tn,raw/investment/investment_exchange.json,375
inv-005,investment,en,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/investment/investment_exchange.json,314
seg-001,customer_segments,fr,https://www.amenbank.com.tn,raw/products/customer_segments.json,377
seg-002,customer_segments,fr,https://www.amenbank.com.tn,raw/products/customer_segments.json,355
seg-003,customer_segments,fr,https://fr.wikipedia.org/wiki/Amen_Bank,raw/products/customer_segments.json,342
seg-004,customer_segments,fr,https://www.amenbank.com.tn,raw/products/customer_segments.json,404
seg-005,customer_segments,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/products/customer_segments.json,414
seg-006,customer_segments,en,https://www.amenbank.com.tn,raw/products/customer_segments.json,269
prd-001,products,fr,https://fr.wikipedia.org/wiki/Amen_Bank,raw/products/products_overview.json,248
prd-002,products,fr,https://fr.wikipedia.org/wiki/Amen_Bank,raw/products/products_overview.json,256
prd-003,products,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/products/products_overview.json,308
prd-004,products,fr,https://www.amenbank.com.tn,raw/products/products_overview.json,318
sec-001,security,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/security/security.json,439
sec-002,security,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/security/security.json,464
sec-003,security,fr,https://www.amenbank.com.tn,raw/security/security.json,414
sec-004,security,fr,https://www.amenbank.com.tn,raw/security/security.json,414
sec-005,security,fr,https://www.amenbank.com.tn,raw/security/security.json,484
sec-006,security,en,https://www.amenbank.com.tn,raw/security/security.json,379
